,0
Leucitite,"Leucitite or leucite rock is an igneous rock containing leucite. It is scarce, many countries such as England being entirely without them. However, they are of wide distribution, occurring in every quarter of the globe. Taken collectively, they exhibit a considerable variety of types and are of great interest petrographically. For the presence of this mineral it is necessary that the silica percentage of the rock should be low, since leucite is incompatible with free quartz and reacts with it to form potassium feldspar. Because it weathers rapidly, leucite is most common in lavas of recent and Tertiary age, which have a fair amount of potassium, or at any rate have potassium equal to or greater than sodium; if sodium is abundant nepheline occurs rather than leucite.
In pre-Tertiary rocks leucite readily decomposes and changes to zeolites, analcite and other secondary minerals. Leucite also is rare in plutonic rocks and dike rocks, but leucite syenite and leucite tinguaite bear witness to the possibility that it may occur in this manner. The rounded shape of its crystals, their white or grey color, and absence of planar cleavage make the presence of leucite easily determinable in many of these rocks by inspection, especially when the crystals are large.

""Pseudoleucites"" are rounded areas consisting of feldspar, nepheline, analcite, &c., which have the shape, composition and sometimes even the outward crystalline shape of leucite; they are probably pseudomorphs or paramorphs, which have developed from leucite because this mineral is not stable at ordinary temperatures and can be expected under favorable conditions to undergo spontaneous change into an aggregate of other minerals. Leucite is very often accompanied by nepheline, sodalite or nosean; other minerals which make their appearance with some frequency are melanite, garnet and melilite.
The plutonic leucite-bearing rocks are leucite syenite and missourite. Of these the former consists of orthoclase, nepheline, sodalite, diopside and aegirine, biotite and sphene. Two occurrences are known, one in Arkansas, the other in Sutherland, Scotland. The Scottish rock has been called borolanite. Both examples show large rounded spots in the hand specimens; they are pseudoleucites, and under the microscope prove to consist of orthoclase, nepheline, sodalite and decomposition products. These have a radiate arrangement externally, but are of irregular structure at their centres; in both rocks melanite is an important accessory. The missourites are more mafic and consist of leucite, olivine, augite and biotite; the leucite is partly fresh partly altered to analcite, and the rock has a spotted character recalling that of the leucite-syenites. It has been found only in the Highwood Mountains of Montana.
The leucite-hearing dike-rocks are members of the tinguaite and monchiquite groups. The leucite tinguaites are usually pale grey or greenish in color and consist principally of nepheline, alkali feldspar and aegirine. The latter forms bright green moss-like patches and growths of indefinite shape, or in other cases scattered acicular prisms, among the feldspars and nephelines of the ground mass. Where leucite occurs, it is always euhedral in small, equant, many-sided crystals in the ground mass, or in larger masses which have the same characters as the pseudoleucites. Biotite occurs in some of these rocks, and melanite also is present. Nepheline decreases in amount as leucite increases since the abundances of the two reflect the Na:K ratio of the rock. Rocks of this group are known from Rio de Janeiro, Arkansas, Kola Peninsula (in Russia), Montana and a few other places., In Greenland there are leucite tinguaites with much arfvedsonite, (hornblende) and eudialyte. Wherever they occur they accompany leucite- and nepheline syenites. Leucite monchiquites are fine-grained dark rocks consisting of olivine, titaniferous augite and iron oxides, with a glassy ground mass in which small rounded crystals of leucite are scattered. They have been described from Czechoslovakia.
By far the greater number of the rocks which contain leucite are lavas of Tertiary or recent geological age. Although these never contain quartz, but feldspar is usually present, though there are certain groups of leucite lavas which are non-feldspathic. Many of them also contain nepheline, sodalite, hauyne and nosean; the much rarer mineral melilite appears also in some examples. The commonest ferromagnesian mineral is augite (sometimes rich in sodium), with olivine in the more basic varieties. Hornblende and biotite occur also, but are less common. Melanite is found in some of the lavas, as in the leucite syenites.
The rocks in which orthoclase (or sanidine) is present in considerable amount are leucite-trachytes, leucite-phonolites and leucitophvres. Of these groups the two former, which are not sharply distinguished from one another by most authors, are common in the neighborhood of Rome. They are of trachytic appearance, containing phenocysts of sanidine, leucite, augite and biotite. Sodalite or hauyne may also be present, but nepheline is typically absent. Rocks of this class occur also in the tuffs of the Phlegraean Fields, near Naples. The leucitophyres are rare rocks which have been described from various parts of the volcanic district of the Rhine (Olbrck. Laacher See, etc.) and from Monte Vulture in Italy. They are rich in leucite, but contain also some sanidine and often much nepheline with hauyne or nosean. Their pyroxene is principally aegirine or aegirine-augite; some of them are rich in melanite. Microscopic sections of some of these rocks are of great interest on account of their beauty and the variety of feldspathoid minerals which they contain. In Brazil leucitophyres have been found which belong to the Carboniferous period.
Those leucite rocks which contain abundant essential plagioclase feldspar are known as leucite tephrites and leucite basanites. The former consist mainly of plagioclase, leucite and augite, while the latter contain olivine in addition. The leucite is often present in two sets of crystals, both porphyritic and as an ingredient of the ground mass. It is always idiomorphic with rounded outlines. The feldspar ranges from bytownite to oligoclase, being usually a variety of labradorite; orthoclase is scarce. The augite varies a good deal in chemnistry and optical character, being green, brown or violet (suggesting high Na and Ti content), but it is rarely high enough in Na and Fe to qualify as aegirine-augite or aegirine. Among the accessory minerals biotite, brown hornblende, hauyne, iron oxides and apatite are the commonest; melanite and nepheline may also occur. The ground mass of these rocks is only occasionally rich in glass. The leucite-tephrites and leucite-basanites of Vesuvius and Somma are familiar examples of this class of rocks. They are black or ashy-grey in color, often vesicular, and may contain many large grey phenocysts of leucite.  Their black augite and yellow green olivine are also easily observed in hand specimens. From Volcan Ello, Sardinia and Roccamonfina similar rocks are obtained; they occur also in Bohemia, in Java, Celebes, Kilimanjaro (Africa) and near Trebizond in Asia Minor.
Leucite lavas from which feldspar is absent are divided into the leucitites and leucite basalts. The latter contain olivine, the former do not. Pyroxene is the usual ferromagnesian mineral, and resembles that of the tephrites and basanites. Sanidine, melanite, hauyne and perovskite are frequent accessory minerals in these rocks, and many of them contain melilite in some quantity, The well-known leucitite of the Capo di Bove, near, Rome, is rich in this mineral, which forms irregular plates, yellow in the hand specimen, enclosing many small rounded crystals of leucite. Bracciano and Roccamonfina are other Italian localities for leucitite, and in Java, Montana, Celebes and New South Wales similar rocks occur, The leucite basalts belong to more basic types and are rich in olivine and augite. They occur in great numbers in the Rhenish volcanic district (Eifel, Laacher See) and in Bohemia, and accompany tephrites or leucitites in Java, Montana, Celebes and Sardinia. The peperino of the neighborhood of Rome is a leucitite tuff.

"
Nephelinite,"Nephelinite is a fine-grained or aphanitic igneous rock made up almost entirely of nepheline and clinopyroxene (variety augite). If olivine is present, the rock may be classified as an olivine nephelinite. Nephelinite is dark in color and may resemble basalt in hand specimen. However, basalt consists mostly of clinopyroxene (augite) and calcic plagioclase.
Basalt, alkali basalt, basanite, tephritic nephelinite, and nephelinite differ partly in the relative proportions of plagioclase and nepheline. Alkali basalt may contain minor nepheline and does contain nepheline in its CIPW normative mineralogy. A critical ratio in the classification of these rocks is the ratio nepheline/(nepheline plus plagioclase). Basanite has a value of this ratio between 0.1 and 0.6 and also contains more than 10% olivine. Tephritic nephelinite has a value between 0.6 and 0.9. Nephelinite has a value greater than 0.9. Le Maitre (2002) defines and discusses these and other criteria in the classification of igneous rocks.
Nephelinite is an example of a silica-undersaturated igneous rock. The degree of silica saturation can be evaluated with normative mineralogy calculated from chemical analyses, or with actual mineralogy for completely crystallized igneous rocks with equilibrated assemblages. Silica-oversaturated rocks contain quartz (or another silica polymorph). Silica-undersaturated mafic igneous rocks contain magnesian olivine but not magnesian orthopyroxene, and/or a feldspathoid. Silica-saturated igneous rocks fall in between these two classes.
Silica-undersaturated, mafic igneous rocks are much less abundant than silica-saturated and oversaturated basalts. Genesis of the less common mafic rocks such as nephelinite is usually ascribed to more than one of the following three causes:

relatively high pressure of melting;
relatively low degree of fractional melting in a mantle source;
relatively high dissolved carbon dioxide in the melt.Nephelinites and similar rocks typically contain relatively high concentrations of elements such as the light rare earths, as consistent with a low degree of melting of mantle peridotite at depths sufficient to stabilize garnet. Nephelinites are also associated with carbonatite in some occurrences, consistent with source rocks relatively rich in carbon dioxide.
Nephelinite is found on ocean islands such as Oahu, although the rock type is very rare in the Hawaiian islands. It is found in a variety of continental settings. An example is the Hamada nephelinite lava flow in southwest Japan which occurred in the late Miocene age.  Nephelinite is also associated with the highly alkalic volcanism of the Ol Doinyo Lengai volcanic field in Tanzania. Nyiragongo, another African volcano known for its semipermanent lava lake activity, erupts lava made of melilite nephelinite. The unusual chemical makeup of this igneous rock may be a factor in the unusual fluidity of its lavas.

Olivine nephelinite flows also occur in the Wells Gray-Clearwater volcanic field in east-central British Columbia and at Volcano Mountain in central Yukon Territory. Melilite olivine nephelinite intrusives of Cretaceous age are found in the area around Uvalde, Texas."
Obsidian,"Obsidian is a naturally occurring volcanic glass formed as an extrusive igneous rock.Obsidian is produced when felsic lava extruded from a volcano cools rapidly with minimal crystal growth. It is commonly found within the margins of rhyolitic lava flows known as obsidian flows, where the chemical composition (high silica content) causes a high viscosity which, upon rapid cooling, forms a natural glass from the lava. The inhibition of atomic diffusion through this highly viscous lava explains the lack of crystal growth. Obsidian is hard, brittle, and amorphous; it therefore fractures with very sharp edges. In the past it was used to manufacture cutting and piercing tools and it has been used experimentally as surgical scalpel blades."
Phonolite,"Phonolite is an uncommon extrusive rock, of intermediate chemical composition between felsic and mafic, with texture ranging from aphanitic (fine-grain) to porphyritic (mixed fine- and coarse-grain). Its intrusive equivalent is nepheline syenite.
The name phonolite comes from the Ancient Greek meaning ""sounding stone"" because of the metallic sound it produces if an unfractured plate is hit; hence the English name clinkstone."
Phonotephrite,"Phonotephrite is a strongly alkaline volcanic rock with a composition between phonolite and tephrite. This unusual igneous rock contains 7 to 12% alkali content and 45 to 53% silica content (see TAS diagram). It can be described as a mafic phonolite or a potassic tephrite. Phonotephrite lava flows and volcanic cones have been identified in Antarctica, North America and Africa."
Rhyodacite,"Rhyodacite is an extrusive volcanic rock intermediate in composition between dacite and rhyolite. It is the extrusive equivalent of granodiorite. Phenocrysts of sodium-rich plagioclase, sanidine, quartz, and biotite or hornblende are typically set in an aphanitic to glassy light to intermediate-colored matrix. 
Rhyodacite is a high silica rock containing 20% to 60% quartz with the remaining constituents being mostly feldspar.  The feldspar is a mix of alkaline feldspar and plagioclase, with plagioclase forming 35% to 65% of the mix.  
Rhyodacite often exists as explosive pyroclastic volcanic deposits.
Rhyodacite lava flows occur, for example, in northwestern Ferry County (Washington), and at An Sgùrr on the island of Eigg in Scotland."
Rhyolite,"Rhyolite is an igneous, volcanic rock, of felsic (silica-rich) composition (typically > 69% SiO2 – see the TAS classification). It may have any texture from glassy to aphanitic to porphyritic. The mineral assemblage is usually quartz, sanidine and plagioclase (in a ratio > 2:1 – see the QAPF diagram). Biotite and hornblende are common accessory minerals. It is the extrusive equivalent  to granite."
Tephriphonolite,"Tephriphonolite is a mafic to intermediate extrusive igneous rock in composition between phonotephrite and phonolite. It contains 9 to 14% alkali content and 48 to 57% silica content (see TAS diagram).Tephriphonolite has been found, for example, at Colli Albani volcano, Italy and in the Asuncion Rift, Paraguay."
Trachyandesite,"Trachyandesite is an extrusive igneous rock with a composition between trachyte and andesite. It has little or no free quartz, but is dominated by alkali feldspar and sodic plagioclase along with one or more of the following mafic minerals: amphibole, biotite or pyroxene. Small amounts of nepheline may be present and apatite is a common accessory mineral. Trachyandestine is often affiliated with the German word ""Schadenfreude"" for its chemical properties.
Trachyandesitic magma can produce explosive Plinian eruptions, such as happened at Tambora in 1815.

"
Trachybasalt,"Trachybasalt is a volcanic rock with a composition between trachyte and basalt. Minerals in trachybasalt include alkali feldspar, calcic plagioclase, olivine, clinopyroxene and likely very small amounts of leucite or analcime. Trachybasalt is a basalt with high alkali content (5 to 7% Na2O + K2O, see TAS diagram)."
Trachyte,"Trachyte is an igneous volcanic rock with an aphanitic to porphyritic texture. It is the volcanic equivalent of syenite. The mineral assemblage consists of essential alkali feldspar; relatively minor plagioclase and quartz or a feldspathoid such as nepheline may also be present.  (See the QAPF diagram). Biotite, clinopyroxene and olivine are common accessory minerals.

"
Tuff,"Tuff (from the Italian tufo), also known as volcanic tuff, is a type of rock made of volcanic ash ejected from a vent during a volcanic eruption. Following ejection and deposition, the ash is compacted into a solid rock in a process called consolidation.  Tuff is sometimes erroneously called ""tufa"", particularly when used as construction material, but properly speaking, tufa is a limestone precipitated from groundwater.  Rock that contains greater than 50% tuff is considered tuffaceous. 
Tuff is a relatively soft rock, so it has been used for construction since ancient times. Since it is common in Italy, the Romans used it often for construction. The Rapa Nui people used it to make most of the moai statues in Easter Island.
Tuff can be classified as either sedimentary or igneous rock. They are usually studied in the context of igneous petrology, although they are sometimes described using sedimentological terms."
